name,opening_hours,address,location,phone_number,rating,price_level,isJapanese,isKorean,isChinese,isMalay,isIndian,isThai,isVietnamese,isWestern,isLocal,isItalian,isMiddleEastern,isInternational,isEuropean,isGerman,isBurmese,isFrench
Alligator Pear,"[{'close': {'day': 0, 'time': '1030'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '1030'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '1030'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '1030'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '1030'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '1030'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '1030'}, 'open': {'day': 6, 'time': '0700'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1200'}}]","80 Bras Basah Rd, Level 8 Fairmont Singapore, Singapore 189560",8,+65 6431 6156,3.7,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Anglo Indian Cafe & Bar,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}]","30 Victoria St, #01-13 Chijmes, Singapore 187996",5,+65 6873 2750,4.1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANTI:DOTE,"[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1200'}}]","80 Bras Basah Road Level 1 Fairmont, Singapore 189560",8,+65 6431 5315,4.1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aroy-Dee,,"91 Bencoolen St, Singapore 189652",9,+65 6336 8852,4.3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aroy-Dee Thai Kitchen,"[{'open': {'day': 0, 'time': '0000'}}]","127 Bencoolen St, Singapore 189637",9,+65 6336 8812,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Artichoke,"[{'close': {'day': 0, 'time': '1445'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2145'}, 'open': {'day': 0, 'time': '1600'}}, {'close': {'day': 2, 'time': '2145'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '2145'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2145'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2145'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '1445'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2145'}, 'open': {'day': 6, 'time': '1600'}}]","161 Middle Rd, Singapore 188978",5,+65 6336 6949,4.4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asian Market Café,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '1200'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '1800'}}]","80 Bras Basah Rd, Level 2 Fairmont Singapore, Singapore 189560",8,+65 6431 6156,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
ASTONS Specialities @ The Cathay,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1130'}}]","2 Handy Rd, #04-03/04 The Cathay, Singapore 229233",6,+65 6887 5889,4.2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avobites,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","Funan Centre, 109 North Bridge Rd, #B2-K08 Funan Mall, Singapore 179097",9,,3.9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baja Fresh Mexican Grill Singapore,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 4, 'time': '0400'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 5, 'time': '0400'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 6, 'time': '0400'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 0, 'time': '0400'}, 'open': {'day': 6, 'time': '0730'}}]","9 Bras Basah Rd, #01-03 Rendezvous Gallery, Singapore 189559",5,+65 6337 7300,4.2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bangkok Jam,"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1130'}}]","68 Orchard Road, #03-85, PLAZA, Singapore 238839",10,+65 6341 9188,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bishamon Express,,"Orchard Rd, Singapore 238839",10,+65 6341 9937,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizen Okayama Wagyu Steakhouse,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1130'}}]","107 North Bridge Rd, #B2-22 Funan Mall, Singapore 179105",9,+65 6970 0481,3.4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boat Story Thai Boat Noodle,"[{'close': {'day': 2, 'time': '0600'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 3, 'time': '0600'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 4, 'time': '0600'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 5, 'time': '0600'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 6, 'time': '0600'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 0, 'time': '0600'}, 'open': {'day': 6, 'time': '1030'}}]","35 Selegie Rd, #02-25B Parklane Shopping Mall, Singapore 188307",9,+65 8155 2323,4.4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brotzeit Raffles City,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 6, 'time': '0100'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 0, 'time': '0100'}, 'open': {'day': 6, 'time': '1000'}}]","252 North Bridge Rd, #01-17, Raffles City Shopping Centre, Singapore 179103",8,+65 6883 1534,4.1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Buffet Town,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '1500'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '1130'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1800'}}]","252 North Bridge Road, #B1-44E, Raffles City Shopping Centre, Singapore 179103",8,+65 6837 3793,3.7,2,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0
Burger King - Capitol,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}]","13 Stamford Rd, #B1-30/31 Capitol Piazza, Singapore 178905",7,,3.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Burger King - Plaza Singapura,"[{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '0830'}}, {'close': {'day': 1, 'time': '2230'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '2230'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '2330'}, 'open': {'day': 5, 'time': '0830'}}, {'close': {'day': 6, 'time': '2330'}, 'open': {'day': 6, 'time': '0830'}}]","68 Orchard Rd, Plaza Singapura, #B1-11, Singapore 238839",10,+65 6238 1367,3.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cajun on Wheels, Plaza Singapura","[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}]","68 Orchard Rd, Plaza Singapura, #03-92, Singapore 238839",10,+65 6341 9665,3.5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capitol Milk Bar,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]","13 Stamford Rd, #01-84B Arcade @ The Capitol Kempinski, Singapore 178905",7,+65 6715 6874,4.8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carnivore (CHIJMES),"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1800'}}]","30, #01-30 Victoria St, CHIJMES, Singapore 187996",5,+65 6334 9332,4.2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cedele,"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '0800'}}]","252 North Bridge Rd, #B1 - 44M, Singapore 179103",8,+65 6334 4828,3.8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chalerm Thai,"[{'close': {'day': 0, 'time': '1430'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1800'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1800'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1800'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1800'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1800'}}, {'close': {'day': 5, 'time': '1430'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1800'}}, {'close': {'day': 6, 'time': '1430'}, 'open': {'day': 6, 'time': '1100'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1800'}}]","13 Stamford Rd, #01-85 Arcade @ The Capitol Kempinski, Singapore 178905",7,+65 6715 6875,3.8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
